area,date,num_trip
1,2019-09-01,326
1,2019-09-02,301
1,2019-09-03,433
1,2019-09-04,388
1,2019-09-05,431
1,2019-09-06,460
1,2019-09-07,398
1,2019-09-08,296
1,2019-09-09,364
1,2019-09-10,379
1,2019-09-11,367
1,2019-09-12,421
1,2019-09-13,530
1,2019-09-14,423
1,2019-09-15,411
1,2019-09-16,430
1,2019-09-17,416
1,2019-09-18,394
1,2019-09-19,442
1,2019-09-20,516
1,2019-09-21,463
1,2019-09-22,327
1,2019-09-23,442
1,2019-09-24,396
1,2019-09-25,411
1,2019-09-26,425
1,2019-09-27,497
1,2019-09-28,462
1,2019-09-29,367
1,2019-09-30,429
1,2019-10-01,434
1,2019-10-02,409
1,2019-10-03,422
1,2019-10-04,445
1,2019-10-05,431
1,2019-10-06,327
1,2019-10-07,361
1,2019-10-08,358
1,2019-10-09,387
1,2019-10-10,391
1,2019-10-11,433
1,2019-10-12,427
1,2019-10-13,417
1,2019-10-14,382
1,2019-10-15,352
1,2019-10-16,390
1,2019-10-17,368
1,2019-10-18,485
1,2019-10-19,401
1,2019-10-20,340
1,2019-10-21,381
1,2019-10-22,421
1,2019-10-23,373
1,2019-10-24,381
1,2019-10-25,431
1,2019-10-26,534
1,2019-10-27,379
1,2019-10-28,386
1,2019-10-29,375
1,2019-10-30,450
1,2019-10-31,479
1,2019-11-01,672
1,2019-11-02,522
1,2019-11-03,334
1,2019-11-04,380
1,2019-11-05,359
1,2019-11-06,381
1,2019-11-07,428
1,2019-11-08,430
1,2019-11-09,462
1,2019-11-10,311
1,2019-11-11,403
1,2019-11-12,484
1,2019-11-13,443
1,2019-11-14,449
1,2019-11-15,492
1,2019-11-16,450
1,2019-11-17,362
1,2019-11-18,441
1,2019-11-19,444
1,2019-11-20,377
1,2019-11-21,451
1,2019-11-22,545
1,2019-11-23,382
1,2019-11-24,321
1,2019-11-25,369
1,2019-11-26,445
1,2019-11-27,462
1,2019-11-28,358
1,2019-11-29,346
1,2019-11-30,411
1,2019-12-01,321
1,2019-12-02,384
1,2019-12-03,494
1,2019-12-04,477
1,2019-12-05,425
1,2019-12-06,495
1,2019-12-07,444
1,2019-12-08,312
1,2019-12-09,381
1,2019-12-10,408
1,2019-12-11,457
1,2019-12-12,540
1,2019-12-13,547
1,2019-12-14,544
1,2019-12-15,403
1,2019-12-16,418
1,2019-12-17,454
1,2019-12-18,463
1,2019-12-19,410
1,2019-12-20,458
1,2019-12-21,447
1,2019-12-22,352
1,2019-12-23,412
1,2019-12-24,377
1,2019-12-25,177
1,2019-12-26,231
1,2019-12-27,316
1,2019-12-28,345
1,2019-12-29,277
1,2019-12-30,329
1,2019-12-31,488
2,2019-09-01,2163
2,2019-09-02,1461
2,2019-09-03,1529
